VEHTYPE,ROAD_CLASS,LOCCOORD,DISTRICT,TRAFFCTL,LIGHT,RDSFCOND,INVTYPE,IMPACTYPE,INVAGE,YEAR,TIME,LATITUDE,LONGITUDE,MONTH,DAY,PEDESTRIAN,CYCLIST,AUTOMOBILE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,ACCLASS
"Automobile, Station Wagon",Minor Arterial,Mid-Block,Toronto and East York,No Control,Dark,Dry,Driver,Cyclist Collisions,45 to 49,2007,22,43.666045,-79.31799,6,5,0,1,1,0,0,0,0,0,0
Bicycle,Minor Arterial,Mid-Block,Toronto and East York,No Control,Dark,Dry,Cyclist,Cyclist Collisions,35 to 39,2007,22,43.666045,-79.31799,6,5,0,1,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Angle,30 to 34,2007,8,43.765745,-79.28109,7,6,0,0,1,0,0,0,0,1,1
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Vehicle Owner,Angle,unknown,2007,8,43.765745,-79.28109,7,6,0,0,1,0,0,0,0,1,1
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Angle,60 to 64,2007,8,43.765745,-79.28109,7,6,0,0,1,0,0,0,0,1,1
"Automobile, Station Wagon",Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Driver,Rear End,35 to 39,2007,18,43.715445,-79.44729,7,6,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Passenger,Rear End,40 to 44,2007,18,43.715445,-79.44729,7,6,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Vehicle Owner,Rear End,unknown,2007,18,43.715445,-79.44729,7,6,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Driver,Rear End,35 to 39,2007,18,43.715445,-79.44729,7,6,0,0,1,0,0,1,0,0,0
Motorcycle,Major Arterial,Intersection,North York,Traffic Signal,Dark,Dry,Motorcycle Driver,Turning Movement,35 to 39,2007,2,43.687945,-79.36359,7,0,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Dark,Dry,Passenger,Turning Movement,50 to 54,2007,2,43.687945,-79.36359,7,0,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Dark,Dry,Vehicle Owner,Turning Movement,unknown,2007,2,43.687945,-79.36359,7,0,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Dark,Dry,Driver,Turning Movement,45 to 49,2007,2,43.687945,-79.36359,7,0,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Driver,Cyclist Collisions,80 to 84,2007,11,43.700144,-79.516193,7,0,0,1,1,0,0,0,0,0,0
Bicycle,Major Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Cyclist,Cyclist Collisions,80 to 84,2007,11,43.700144,-79.516193,7,0,0,1,1,0,0,0,0,0,0
"Automobile, Station Wagon",Minor Arterial,Intersection,Scarborough,Traffic Signal,Dark,Dry,Driver,Turning Movement,35 to 39,2007,21,43.786545,-79.18829,7,0,0,0,1,0,0,1,0,1,0
Other,Minor Arterial,Intersection,Scarborough,Traffic Signal,Dark,Dry,Passenger,Turning Movement,15 to 19,2007,21,43.786545,-79.18829,7,0,0,0,1,0,0,1,0,1,0
Other,Minor Arterial,Intersection,Scarborough,Traffic Signal,Dark,Dry,Vehicle Owner,Turning Movement,unknown,2007,21,43.786545,-79.18829,7,0,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Minor Arterial,Intersection,Scarborough,Traffic Signal,Dark,Dry,Driver,Turning Movement,15 to 19,2007,21,43.786545,-79.18829,7,0,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,85 to 89,2007,11,43.761845,-79.38679,7,1,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Vehicle Owner,Turning Movement,unknown,2007,11,43.761845,-79.38679,7,1,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,65 to 69,2007,11,43.761845,-79.38679,7,1,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,45 to 49,2007,11,43.761845,-79.38679,7,1,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Vehicle Owner,Turning Movement,unknown,2007,11,43.761845,-79.38679,7,1,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,55 to 59,2007,11,43.761845,-79.38679,7,1,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,50 to 54,2007,11,43.761845,-79.38679,7,1,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Vehicle Owner,Turning Movement,unknown,2007,11,43.761845,-79.38679,7,1,0,0,1,0,0,1,0,1,0
