ROAD_CLASS,ACCNUM,new
Major Arterial,9001359532,Major Arterial
Major Arterial,9001359532,Major Arterial
Major Arterial,9001357521,Major Arterial
Major Arterial,9001357521,Major Arterial
Major Arterial,9001357521,Major Arterial
Major Arterial,9001357521,Major Arterial
Major Arterial,9001357521,Major Arterial
Major Arterial,9001357521,Major Arterial
Major Arterial,9001351159,Major Arterial
Major Arterial,9001351159,Major Arterial
Local,9001332621,Local
Local,9001332621,Local
Major Arterial,9001317528,Major Arterial
Major Arterial,9001317528,Major Arterial
Major Arterial,9001317528,Major Arterial
Major Arterial,9001317528,Major Arterial
Major Arterial,9001317528,Major Arterial
Major Arterial,9001317528,Major Arterial
Collector,9001305617,Collector
Collector,9001305617,Collector
Major Arterial,9001303685,Major Arterial
Major Arterial,9001303685,Major Arterial
Minor Arterial,9001287128,Minor Arterial
Minor Arterial,9001287128,Minor Arterial
Minor Arterial,9001287128,Minor Arterial
Major Arterial,9001271842,Major Arterial
Major Arterial,9001271842,Major Arterial
Major Arterial,9001271842,Major Arterial
Major Arterial,9001270000,Major Arterial
Major Arterial,9001270000,Major Arterial
Major Arterial,9001270000,Major Arterial
Major Arterial,9001268275,Major Arterial
Major Arterial,9001268275,Major Arterial
Collector,9001264141,Collector
Major Arterial,9001246543,Major Arterial
Major Arterial,9001246543,Major Arterial
Major Arterial,9001246543,Major Arterial
Major Arterial,9001242183,Major Arterial
Major Arterial,9001242183,Major Arterial
Major Arterial,9001234628,Major Arterial
Major Arterial,9001234628,Major Arterial
Minor Arterial,9001234049,Minor Arterial
Minor Arterial,9001234049,Minor Arterial
Minor Arterial,9001233814,Minor Arterial
Major Arterial,9001227477,Major Arterial
Major Arterial,9001227477,Major Arterial
Major Arterial,9001227477,Major Arterial
Major Arterial,9001227477,Major Arterial
Major Arterial,9001227477,Major Arterial
Major Arterial,9001220436,Major Arterial
Major Arterial,9001220436,Major Arterial
Major Arterial,9001201240,Major Arterial
Major Arterial,9001201240,Major Arterial
Major Arterial,9001201240,Major Arterial
Major Arterial,9001201240,Major Arterial
Major Arterial,9001196370,Major Arterial
Major Arterial,9001196370,Major Arterial
Major Arterial,9001184914,Major Arterial
Major Arterial,9001184914,Major Arterial
Major Arterial,9001182674,Major Arterial
Major Arterial,9001182674,Major Arterial
Major Arterial,9001182119,Major Arterial
Major Arterial,9001182119,Major Arterial
Major Arterial,9001182119,Major Arterial
Major Arterial,9001182119,Major Arterial
Major Arterial,9001182119,Major Arterial
Major Arterial,9001182119,Major Arterial
Major Arterial,9001182119,Major Arterial
Major Arterial,9001182119,Major Arterial
Major Arterial,9001180401,Major Arterial
Major Arterial,9001180401,Major Arterial
Minor Arterial,9001177168,Minor Arterial
Minor Arterial,9001177168,Minor Arterial
Major Arterial,9001160017,Major Arterial
Major Arterial,9001160017,Major Arterial
Major Arterial,9001160017,Major Arterial
Major Arterial,9001160017,Major Arterial
Major Arterial,9001160017,Major Arterial
Major Arterial,9001150354,Major Arterial
Major Arterial,9001150354,Major Arterial
Major Arterial,9001146932,Major Arterial
Major Arterial,9001146932,Major Arterial
Major Arterial,9001144678,Major Arterial
Major Arterial,9001144678,Major Arterial
Major Arterial,9001144678,Major Arterial
